Gene1,Gene2,PartialCor
ABCF2,AFMID,-0.0323
ABCF2,AIRE,-0.0291
ABCF2,POLR3A,0.21284
ACBD5,AKR1D1,0.12708
ACBD5,ANKRD30B,0.10256
ACBD5,BCAS4,0.09212
ACBD5,BFAR,0.09954
ACBD5,FAM177A1,0.137
ACBD5,FKBP1P1,0.16013
ACBD5,GIMAP1,0.14477
ACBD5,H6PD,0.15294
ACBD5,KCNH6,-0.12564
ACBD5,LIN52,0.13694
ACBD5,LOC100190938,-0.14387
ACBD5,MCF2L2,0.24108
ACBD5,MRP63,-0.07177
ACBD5,PODXL,0.07692
ACBD5,POFUT1,-0.09788
ACBD5,RRP7B,-0.10569
ACBD5,SNX15,0.24529
ACBD5,TNFSF15,0.08058
ACBD5,TPM3,-0.07156
ACBD5,TRIM34,0.16751
ACBD5,ZMAT3,-0.05668
ACBD5,ZNF765,0.09113
ADAMTS4,AFMID,-0.04763
ADAMTS4,AIRE,0.06546
ADAMTS4,CCL20,-0.07507
ADAMTS4,COX16,0.05421
ADAMTS4,DUXAP3,-0.09191
ADAMTS4,FDXACB1,0.20635
ADAMTS4,LOC641522,0.18213
ADAMTS4,MCF2L2,0.28561
ADAMTS4,NDUFC2,0.10204
ADAMTS4,TBCCD1,0.39184
ADAMTS4,ZC3HAV1L,0.20828
ADAMTS4,ZNF43,0.1006
ADAMTS4,ZNF765,0.13134
AFMID,AFTPH,0.04171
AFMID,AMFR,-0.02964
AFMID,ANKRD30B,0.07403
AFMID,BMS1P5,-0.06768
AFMID,C19orf31,0.06106
AFMID,C6orf61,-0.02432
AFMID,CAPS2,0.04588
AFMID,CDKN2AIPNL,-0.06674
AFMID,DCLRE1C,-0.02814
AFMID,GTF2IRD2B,0.08034
AFMID,HCG2P7,-0.04175
AFMID,KCNH6,-0.08281
AFMID,KILLIN,0.08277
AFMID,LYZ,0.56028
AFMID,NDUFV3,0.06292
AFMID,RAG1AP1,-0.0868
AFMID,SNHG10,0.27894
AFMID,SORL1,0.07691
AFMID,SSSCA1,0.05471
AFMID,TP53BP2,0.43638
AFMID,ZNF131,0.15096
AFMID,ZNF682,-0.08185
AFTPH,BFAR,0.13421
AFTPH,BIRC3,0.14224
AFTPH,C4orf34,0.12491
AFTPH,CDK5RAP2,0.10193
AFTPH,GSDM1,0.0753
AFTPH,HFE,0.14457
AFTPH,ISG20L2,0.20999
AFTPH,KLHL8,-0.11759
AFTPH,LEMD3,0.12673
AFTPH,LGALS3,-0.17328
AFTPH,LOC284821,0.07736
AFTPH,MT1G,0.15298
AFTPH,RELB,0.17302
AFTPH,SLC35E3,0.12368
AFTPH,SNX17,-0.11059
AFTPH,TRIM56,0.21001
AFTPH,XRCC2,-0.09313
AFTPH,YEATS4,-0.15959
AFTPH,ZYX,0.08241
AGTRAP,BTBD2,0.2467
AGTRAP,CYP27A1,0.13751
AGTRAP,HNRPR,-0.12855
AGTRAP,HSBP1,0.15009
AGTRAP,IL10,-0.22907
AGTRAP,JARID2,-0.16824
AGTRAP,NDUFV3,0.10149
AGTRAP,NFIL3,-0.17133
AGTRAP,RUNDC2B,0.11549
AGTRAP,SLAMF6,-0.08837
AGTRAP,SLC35E3,0.21906
AGTRAP,SLC3A2,0.0681
AGTRAP,TMBIM4,0.08883
AGTRAP,ZYX,0.17058
AIRE,ALPP,-0.11692
AIRE,BIRC3,-0.11757
AIRE,C19orf31,-0.06397
AIRE,C21orf24,-0.0636
AIRE,CATSPER2,0.20571
AIRE,CCR6,-0.17321
AIRE,CDAN1,0.14438
AIRE,CDKN2AIPNL,0.10939
AIRE,CHRNA5,-0.09988
AIRE,DDX51,0.10394
AIRE,DEM1,-0.06761
AIRE,FARSLB,0.14256
AIRE,FLJ46309,0.15197
AIRE,HCG2P7,0.05463
AIRE,HIATL2,-0.10848
AIRE,HNRPR,-0.05465
AIRE,KIAA0101,0.1072
AIRE,LILRB3,0.15994
AIRE,LOC100132727,0.13411
AIRE,LOC255167,0.08409
AIRE,LOC653086,0.22543
AIRE,MINK1,0.04586
AIRE,NOD1,-0.07506
AIRE,PNPT1,0.24607
AIRE,RPL7L1,0.21577
AIRE,STAG3L3,-0.108
AIRE,TBC1D15,-0.06472
AIRE,TIPRL,0.0786
AIRE,TMEM106A,0.13111
AIRE,USP49,0.08919
